152,3004,1;154,3008,1
152,3004,1;201,202,1
152,3004,1;201,204,1
152,3004,1;203,205,1
152,3004,1;203,205,2
152,3004,1;3001,3003,1
152,3004,1;3002,3004,1
152,3004,1;3003,3005,1
152,3004,1;3003,3005,2
152,3004,1;3005,3006,1
152,3004,1;3005,3007,1
152,3004,1;3005,3008,1
152,3004,1;3007,3008,1
153,154,1;151,152,1
153,154,1;151,152,2
153,154,1;151,201,1
153,154,1;152,202,1
153,154,1;152,3004,1
153,154,1;153,154,2
153,154,1;153,3006,1
153,154,1;154,203,1
153,154,1;154,205,1
153,154,1;154,3008,1
153,154,1;201,202,1
153,154,1;201,204,1
153,154,1;203,205,1
153,154,1;203,205,2
153,154,1;3001,3003,1
153,154,1;3002,3004,1
153,154,1;3003,3005,1
153,154,1;3003,3005,2
153,154,1;3005,3006,1
153,154,1;3005,3007,1
153,154,1;3005,3008,1
153,154,1;3007,3008,1
153,154,2;151,152,1
153,154,2;151,152,2
153,154,2;151,201,1
153,154,2;152,202,1
153,154,2;152,3004,1
153,154,2;153,154,1
153,154,2;153,3006,1
153,154,2;154,203,1
153,154,2;154,205,1
153,154,2;154,3008,1
153,154,2;201,202,1
153,154,2;201,204,1
153,154,2;203,205,1
153,154,2;203,205,2
153,154,2;3001,3003,1
153,154,2;3002,3004,1
153,154,2;3003,3005,1
153,154,2;3003,3005,2
153,154,2;3005,3006,1
153,154,2;3005,3007,1
153,154,2;3005,3008,1
153,154,2;3007,3008,1
153,3006,1;151,152,1
153,3006,1;151,152,2
153,3006,1;151,201,1
153,3006,1;152,202,1
153,3006,1;152,3004,1
153,3006,1;153,154,1
153,3006,1;153,154,2
153,3006,1;154,203,1
153,3006,1;154,205,1
153,3006,1;154,3008,1
153,3006,1;201,202,1
153,3006,1;201,204,1
153,3006,1;203,205,1
153,3006,1;203,205,2
153,3006,1;3001,3003,1
153,3006,1;3002,3004,1
153,3006,1;3003,3005,1
153,3006,1;3003,3005,2
153,3006,1;3005,3007,1
153,3006,1;3005,3008,1
153,3006,1;3007,3008,1
154,203,1;151,152,1
154,203,1;151,152,2
154,203,1;151,201,1
154,203,1;152,202,1
154,203,1;152,3004,1
154,203,1;153,154,1
154,203,1;153,154,2
154,203,1;153,3006,1
154,203,1;154,205,1
154,203,1;154,3008,1
154,203,1;201,202,1
154,203,1;201,204,1
154,203,1;203,205,1
154,203,1;203,205,2
154,203,1;3001,3003,1
154,203,1;3002,3004,1
154,203,1;3003,3005,1
154,203,1;3003,3005,2
154,203,1;3005,3006,1
154,203,1;3005,3007,1
154,203,1;3005,3008,1
154,203,1;3007,3008,1
154,205,1;151,152,1
154,205,1;151,152,2
154,205,1;151,201,1
154,205,1;152,202,1
154,205,1;152,3004,1
154,205,1;153,154,1
154,205,1;153,154,2
154,205,1;153,3006,1
154,205,1;154,203,1
154,205,1;154,3008,1
154,205,1;201,202,1
154,205,1;201,204,1
154,205,1;203,205,1
154,205,1;203,205,2
154,205,1;3001,3003,1
154,205,1;3002,3004,1
154,205,1;3003,3005,1
154,205,1;3003,3005,2
154,205,1;3005,3006,1
154,205,1;3005,3007,1
154,205,1;3005,3008,1
154,205,1;3007,3008,1
154,3008,1;151,152,1
154,3008,1;151,152,2
154,3008,1;151,201,1
154,3008,1;152,202,1
154,3008,1;152,3004,1
154,3008,1;153,154,1
154,3008,1;153,154,2
154,3008,1;153,3006,1
154,3008,1;154,203,1
154,3008,1;154,205,1
154,3008,1;201,202,1
154,3008,1;201,204,1
154,3008,1;203,205,1
154,3008,1;203,205,2
154,3008,1;3001,3003,1
154,3008,1;3002,3004,1
154,3008,1;3003,3005,1
154,3008,1;3003,3005,2
154,3008,1;3005,3006,1
154,3008,1;3005,3007,1
154,3008,1;3005,3008,1
154,3008,1;3007,3008,1
201,202,1;151,152,1
201,202,1;151,152,2
201,202,1;151,201,1
201,202,1;152,202,1
201,202,1;152,3004,1
201,202,1;153,154,1
201,202,1;153,154,2
201,202,1;153,3006,1
201,202,1;154,203,1
201,202,1;154,205,1
201,202,1;154,3008,1
201,202,1;201,204,1
201,202,1;203,205,1
201,202,1;203,205,2
201,202,1;3001,3003,1
201,202,1;3002,3004,1
201,202,1;3003,3005,1
201,202,1;3003,3005,2
201,202,1;3005,3006,1
201,202,1;3005,3007,1
201,202,1;3005,3008,1
201,202,1;3007,3008,1
201,204,1;151,152,1
201,204,1;151,152,2
201,204,1;151,201,1
201,204,1;152,202,1
201,204,1;152,3004,1
201,204,1;153,154,1
201,204,1;153,154,2
201,204,1;153,3006,1
201,204,1;154,203,1
201,204,1;154,205,1
201,204,1;154,3008,1
201,204,1;201,202,1
201,204,1;203,205,1
201,204,1;203,205,2
201,204,1;3001,3003,1
201,204,1;3002,3004,1
201,204,1;3003,3005,1
201,204,1;3003,3005,2
201,204,1;3005,3006,1
201,204,1;3005,3007,1
201,204,1;3005,3008,1
201,204,1;3007,3008,1
203,205,1;151,152,1
203,205,1;151,152,2
203,205,1;151,201,1
203,205,1;152,202,1
203,205,1;152,3004,1
203,205,1;153,154,1
203,205,1;153,154,2
203,205,1;153,3006,1
203,205,1;154,203,1
203,205,1;154,205,1
203,205,1;154,3008,1
203,205,1;201,202,1
203,205,1;201,204,1
203,205,1;203,205,2
203,205,1;3001,3003,1
203,205,1;3002,3004,1
203,205,1;3003,3005,1
203,205,1;3003,3005,2
203,205,1;3005,3006,1
203,205,1;3005,3007,1
203,205,1;3005,3008,1
203,205,1;3007,3008,1
203,205,2;151,152,1
203,205,2;151,152,2
203,205,2;151,201,1
203,205,2;152,202,1
203,205,2;152,3004,1
203,205,2;153,154,1
203,205,2;153,154,2
203,205,2;153,3006,1
203,205,2;154,203,1
203,205,2;154,205,1
203,205,2;154,3008,1
203,205,2;201,202,1
203,205,2;201,204,1
203,205,2;203,205,1
203,205,2;3001,3003,1
203,205,2;3002,3004,1
203,205,2;3003,3005,1
203,205,2;3003,3005,2
203,205,2;3005,3006,1
203,205,2;3005,3007,1
203,205,2;3005,3008,1
203,205,2;3007,3008,1
3001,3003,1;151,152,1
3001,3003,1;151,152,2
3001,3003,1;151,201,1
3001,3003,1;152,202,1
3001,3003,1;152,3004,1
3001,3003,1;153,154,1
3001,3003,1;153,154,2
3001,3003,1;153,3006,1
3001,3003,1;154,203,1
3001,3003,1;154,205,1
3001,3003,1;154,3008,1
3001,3003,1;201,202,1
3001,3003,1;201,204,1
3001,3003,1;203,205,1
3001,3003,1;203,205,2
3001,3003,1;3003,3005,1
3001,3003,1;3003,3005,2
3001,3003,1;3005,3006,1
3001,3003,1;3005,3007,1
3001,3003,1;3005,3008,1
3001,3003,1;3007,3008,1
3002,3004,1;151,152,1
3002,3004,1;151,152,2
3002,3004,1;151,201,1
3002,3004,1;152,202,1
3002,3004,1;152,3004,1
3002,3004,1;153,154,1
3002,3004,1;153,154,2
3002,3004,1;153,3006,1
3002,3004,1;154,203,1
3002,3004,1;154,205,1
3002,3004,1;154,3008,1
3002,3004,1;201,202,1
3002,3004,1;201,204,1
3002,3004,1;203,205,1
3002,3004,1;203,205,2
3002,3004,1;3003,3005,1
3002,3004,1;3003,3005,2
3002,3004,1;3005,3006,1
3002,3004,1;3005,3007,1
3002,3004,1;3005,3008,1
3002,3004,1;3007,3008,1
3003,3005,1;151,152,1
3003,3005,1;151,152,2
3003,3005,1;151,201,1
3003,3005,1;152,202,1
3003,3005,1;152,3004,1
3003,3005,1;153,154,1
3003,3005,1;153,154,2
3003,3005,1;153,3006,1
3003,3005,1;154,203,1
3003,3005,1;154,205,1
3003,3005,1;154,3008,1
3003,3005,1;201,202,1
3003,3005,1;201,204,1
3003,3005,1;203,205,1
3003,3005,1;203,205,2
3003,3005,1;3001,3003,1
3003,3005,1;3002,3004,1
3003,3005,1;3003,3005,2
3003,3005,1;3005,3006,1
3003,3005,1;3005,3007,1
3003,3005,1;3005,3008,1
3003,3005,1;3007,3008,1
3003,3005,2;151,152,1
3003,3005,2;151,152,2
3003,3005,2;151,201,1
3003,3005,2;152,202,1
3003,3005,2;152,3004,1
3003,3005,2;153,154,1
3003,3005,2;153,154,2
3003,3005,2;153,3006,1
3003,3005,2;154,203,1
3003,3005,2;154,205,1
3003,3005,2;154,3008,1
3003,3005,2;201,202,1
3003,3005,2;201,204,1
3003,3005,2;203,205,1
3003,3005,2;203,205,2
3003,3005,2;3001,3003,1
3003,3005,2;3002,3004,1
3003,3005,2;3003,3005,1
3003,3005,2;3005,3006,1
3003,3005,2;3005,3007,1
3003,3005,2;3005,3008,1
3003,3005,2;3007,3008,1
3005,3006,1;151,152,1
3005,3006,1;151,152,2
3005,3006,1;151,201,1
3005,3006,1;152,202,1
3005,3006,1;152,3004,1
3005,3006,1;153,154,1
3005,3006,1;153,154,2
3005,3006,1;154,203,1
3005,3006,1;154,205,1
3005,3006,1;154,3008,1
3005,3006,1;201,202,1
3005,3006,1;201,204,1
3005,3006,1;203,205,1
3005,3006,1;203,205,2
3005,3006,1;3001,3003,1
3005,3006,1;3002,3004,1
3005,3006,1;3003,3005,1
3005,3006,1;3003,3005,2
3005,3006,1;3005,3007,1
3005,3006,1;3005,3008,1
3005,3006,1;3007,3008,1
3005,3007,1;151,152,1
3005,3007,1;151,152,2
3005,3007,1;151,201,1
3005,3007,1;152,202,1
3005,3007,1;152,3004,1
3005,3007,1;153,154,1
3005,3007,1;153,154,2
3005,3007,1;153,3006,1
3005,3007,1;154,203,1
3005,3007,1;154,205,1
3005,3007,1;154,3008,1
3005,3007,1;201,202,1
3005,3007,1;201,204,1
3005,3007,1;203,205,1
3005,3007,1;203,205,2
3005,3007,1;3001,3003,1
3005,3007,1;3002,3004,1
3005,3007,1;3003,3005,1
3005,3007,1;3003,3005,2
3005,3007,1;3005,3006,1
3005,3007,1;3005,3008,1
3005,3007,1;3007,3008,1
3005,3008,1;151,152,1
3005,3008,1;151,152,2
3005,3008,1;151,201,1
3005,3008,1;152,202,1
3005,3008,1;152,3004,1
3005,3008,1;153,154,1
3005,3008,1;153,154,2
3005,3008,1;153,3006,1
3005,3008,1;154,203,1
3005,3008,1;154,205,1
3005,3008,1;154,3008,1
3005,3008,1;201,202,1
3005,3008,1;201,204,1
3005,3008,1;203,205,1
3005,3008,1;203,205,2
3005,3008,1;3001,3003,1
3005,3008,1;3002,3004,1
3005,3008,1;3003,3005,1
3005,3008,1;3003,3005,2
3005,3008,1;3005,3006,1
3005,3008,1;3005,3007,1
3005,3008,1;3007,3008,1
3007,3008,1;151,152,1
3007,3008,1;151,152,2
3007,3008,1;151,201,1
3007,3008,1;152,202,1
3007,3008,1;152,3004,1
3007,3008,1;153,154,1
3007,3008,1;153,154,2
3007,3008,1;153,3006,1
3007,3008,1;154,203,1
3007,3008,1;154,205,1
3007,3008,1;154,3008,1
3007,3008,1;201,202,1
3007,3008,1;201,204,1
3007,3008,1;203,205,1
3007,3008,1;203,205,2
3007,3008,1;3001,3003,1
3007,3008,1;3002,3004,1
3007,3008,1;3003,3005,1
3007,3008,1;3003,3005,2
3007,3008,1;3005,3006,1
3007,3008,1;3005,3007,1
3007,3008,1;3005,3008,1
